"entidad_organo_nombre";"entidad_organo_jerarquia";"entidad_organo_nif";"direccion";"direccion_codigo_postal";"direccion_poblacion";"teléfono";"email"
"Agencia Canaria de Investigación, Innovación y Sociedad de la Información";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"calle León y Castillo, 200 - 6ª planta";"35071";"Las Palmas de Gran Canaria";"_U";"conocimiento@gobiernodecanarias.org"
"Comisionado de Inclusión Social y Lucha contra la Pobreza";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Plaza Doctor Rafael O'Shanahan, 1 - 2ª pl.";"35004";"Las Palmas de Gran Canaria";"928211270";"bcabcab@gobiernodecanarias.org"
"Consejera de Política Territorial, Sostenibilidad y Seguridad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad";"S3511001D";"Avenida Francisco La Roche,nº 35, planta 5ª";"38071";"Santa Cruiz de Tenerife";"_U";"nbarher@gobiernodecanarias.org"
"Consejería de Administraciones Públicas, Justicia y Seguridad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"aagg.administracionespublicas@gobiernodecanarias.org"
"Consejería de Agricultura, Ganadería, Pesca y Aguas";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Juan Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"contratacion.agricultura@gobiernodecanarias.org"
"Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud";"S3511001D";"Calle Leoncio Rodríguez, 3, edificio El Cabo, 5ª Planta";"38003";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Consejería de Economía, Conocimiento y Empleo";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 Edif. Servicios Múiltiples 4ª pl.";"35071";"Las Palmas de Gran Canaria";"_U";"servregjur.economia@gobiernodecanarias.org"
"Consejería de Economía, Industria, Comercio y Conocimiento";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 - 4ª planta, Edif. Usos Múltiples III";"35071";"Las Palmas de Gran Canaria";"_U";"servregiur@gobiernodecanarias.org"
"Consejería de Educación, Universidades, Cultura y Deportes";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. de Buenos Aires, 5. Ed. Tres de Mayo 6ª pl.";"38003";"Santa Cruz de Tenerife";"822171898";"pmenrod@gobiernodecanarias.org"
"Consejería de Educación y Universidades de la Comunidad Autónoma de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Educación y Universidades";"S3511001D";"Avenida Buenos Aires, 5";"38071";"Santa Cruz de Tenerife";"_U";"contratadgc.ceu@gobiernodecanarias.org"
